"時間","場所名","住所","該当ページURL","充電場所HP","充電器タイプ","利用可能時間","充電器タイプ","充電器出力","ビジター料金","その他","充電器総数","利用可能","利用中","故障中","休止中","未使用"
02/10/25 10:39,札幌日産　北３６条店,北海道札幌市東区北３６条東１丁目４－１,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大44kW,充電1回当たり2970円,,1,1台利用できます,0台利用中です,0台休止中です,北海道,札幌市中央区
02/10/25 10:39,札樽道　金山ＰＡ上り　急速１,北海道札幌市手稲区稲穂五条6-202-52,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大50kW,最初の5分まで275円、以降1分毎に55円,,1,1台利用できます,0台利用中です,0台休止中です,北海道,札幌市中央区
02/10/25 10:39,札樽道　金山ＰＡ上り　急速１,北海道札幌市手稲区稲穂五条6-202-52,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大50kW,最初の5分まで275円、以降1分毎に55円,,1,1台利用できます,0台利用中です,0台休止中です,北海道,札幌市中央区
02/10/25 10:40,道央自動車道 輪厚ＰＡ（下り）,北海道北広島市輪厚５２２－７,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大40kW,最初の5分まで275円、以降1分毎に55円,【次のSA/PAまでの距離】 道央自動車道　岩見沢ＳＡ　５２km,1,1台利用できます,0台利用中です,0台休止中です,北海道,札幌市中央区
02/10/25 10:40,プリンス札幌　月寒支店,北海道札幌市豊平区月寒中央通１１丁目６番３７号,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大50kW,充電1回当たり2970円,,1,1台利用できます,0台利用中です,0台休止中です,北海道,札幌市北区
02/10/25 10:40,札樽道　金山ＰＡ上り　急速１,北海道札幌市手稲区稲穂五条6-202-52,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大50kW,最初の5分まで275円、以降1分毎に55円,,1,1台利用できます,0台利用中です,0台休止中です,北海道,札幌市北区
02/10/25 10:40,プリンス札幌　月寒支店,北海道札幌市豊平区月寒中央通１１丁目６番３７号,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大50kW,充電1回当たり2970円,,1,1台利用できます,0台利用中です,0台休止中です,北海道,札幌市東区
02/10/25 10:41,札樽道　金山ＰＡ上り　急速１,北海道札幌市手稲区稲穂五条6-202-52,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大50kW,最初の5分まで275円、以降1分毎に55円,,1,1台利用できます,0台利用中です,0台休止中です,北海道,札幌市東区
02/10/25 10:41,プリンス札幌　月寒支店,北海道札幌市豊平区月寒中央通１１丁目６番３７号,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大50kW,充電1回当たり2970円,,1,1台利用できます,0台利用中です,0台休止中です,北海道,札幌市白石区
02/10/25 10:41,札樽道　金山ＰＡ上り　急速１,北海道札幌市手稲区稲穂五条6-202-52,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大50kW,最初の5分まで275円、以降1分毎に55円,,1,1台利用できます,0台利用中です,0台休止中です,北海道,札幌市白石区
