"時間","場所名","住所","該当ページURL","充電場所HP","充電器タイプ","利用可能時間","充電器タイプ","充電器出力","ビジター料金","その他","充電器総数","利用可能","利用中","故障中","休止中","未使用"
02/10/25 10:41,道央自動車道 輪厚ＰＡ（下り）,北海道北広島市輪厚５２２－７,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大40kW,最初の5分まで275円、以降1分毎に55円,【次のSA/PAまでの距離】 道央自動車道　岩見沢ＳＡ　５２km,1,1台利用できます,0台利用中です,0台休止中です,北海道,札幌市白石区
02/10/25 10:42,プリンス札幌　月寒支店,北海道札幌市豊平区月寒中央通１１丁目６番３７号,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大50kW,充電1回当たり2970円,,1,1台利用できます,0台利用中です,0台休止中です,北海道,札幌市豊平区
02/10/25 10:42,札樽道　金山ＰＡ上り　急速１,北海道札幌市手稲区稲穂五条6-202-52,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大50kW,最初の5分まで275円、以降1分毎に55円,,1,1台利用できます,0台利用中です,0台休止中です,北海道,札幌市豊平区
02/10/25 10:42,道央自動車道 輪厚ＰＡ（下り）,北海道北広島市輪厚５２２－７,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大40kW,最初の5分まで275円、以降1分毎に55円,【次のSA/PAまでの距離】 道央自動車道　岩見沢ＳＡ　５２km,1,1台利用できます,0台利用中です,0台休止中です,北海道,札幌市豊平区
02/10/25 10:42,プリンス札幌　月寒支店,北海道札幌市豊平区月寒中央通１１丁目６番３７号,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大50kW,充電1回当たり2970円,,1,1台利用できます,0台利用中です,0台休止中です,北海道,札幌市厚別区
02/10/25 10:43,札樽道　金山ＰＡ上り　急速１,北海道札幌市手稲区稲穂五条6-202-52,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大50kW,最初の5分まで275円、以降1分毎に55円,,1,1台利用できます,0台利用中です,0台休止中です,北海道,札幌市厚別区
02/10/25 10:43,道央自動車道 輪厚ＰＡ（下り）,北海道北広島市輪厚５２２－７,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大40kW,最初の5分まで275円、以降1分毎に55円,【次のSA/PAまでの距離】 道央自動車道　岩見沢ＳＡ　５２km,1,1台利用できます,0台利用中です,0台休止中です,北海道,札幌市厚別区
02/10/25 10:43,北海道日産　小樽店,北海道小樽市有幌町３－５,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大44kW,充電1回当たり2970円,,1,1台利用できます,0台利用中です,0台休止中です,北海道,札幌市手稲区
02/10/25 10:43,プリンス札幌　月寒支店,北海道札幌市豊平区月寒中央通１１丁目６番３７号,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大50kW,充電1回当たり2970円,,1,1台利用できます,0台利用中です,0台休止中です,北海道,札幌市手稲区
02/10/25 10:43,北海道日産　小樽店,北海道小樽市有幌町３－５,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大44kW,充電1回当たり2970円,,1,1台利用できます,0台利用中です,0台休止中です,北海道,札幌市手稲区
02/10/25 10:44,札樽道　金山ＰＡ上り　急速１,北海道札幌市手稲区稲穂五条6-202-52,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大50kW,最初の5分まで275円、以降1分毎に55円,,1,1台利用できます,0台利用中です,0台休止中です,北海道,札幌市手稲区
02/10/25 10:44,プリンス札幌　恵庭支店,北海道恵庭市恵央町１１番１,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大50kW,充電1回当たり2970円,,1,1台利用できます,0台利用中です,0台休止中です,北海道,札幌市清田区
02/10/25 10:44,北海道日産　千歳店,北海道千歳市北信濃７７９番地２,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大44kW,充電1回当たり2970円,,1,1台利用できます,0台利用中です,0台休止中です,北海道,札幌市清田区
02/10/25 10:44,プリンス札幌　月寒支店,北海道札幌市豊平区月寒中央通１１丁目６番３７号,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大50kW,充電1回当たり2970円,,1,1台利用できます,0台利用中です,0台休止中です,北海道,札幌市清田区
02/10/25 10:44,道央自動車道 輪厚ＰＡ（下り）,北海道北広島市輪厚５２２－７,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大40kW,最初の5分まで275円、以降1分毎に55円,【次のSA/PAまでの距離】 道央自動車道　岩見沢ＳＡ　５２km,1,1台利用できます,0台利用中です,0台休止中です,北海道,札幌市清田区
02/10/25 10:45,函館日産　亀田本町店,北海道函館市亀田本町３７－９,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大50kW,充電1回当たり2970円,,1,1台利用できます,0台利用中です,0台休止中です,北海道,函館市
02/10/25 10:45,北海道日産　小樽店,北海道小樽市有幌町３－５,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大44kW,充電1回当たり2970円,,1,1台利用できます,0台利用中です,0台休止中です,北海道,小樽市
02/10/25 10:45,札樽道　金山ＰＡ上り　急速１,北海道札幌市手稲区稲穂五条6-202-52,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大50kW,最初の5分まで275円、以降1分毎に55円,,1,1台利用できます,0台利用中です,0台休止中です,北海道,小樽市
02/10/25 10:46,北海道日産　室蘭店,北海道室蘭市日の出町３丁目７番１０号,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大50kW,充電1回当たり2970円,,1,1台利用できます,0台利用中です,0台休止中です,北海道,室蘭市
02/10/25 10:46,札幌日産　室蘭中島店,北海道室蘭市中島町４丁目２－６,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大44kW,充電1回当たり2970円,,1,1台利用できます,0台利用中です,0台休止中です,北海道,室蘭市
